timestamp,latitude,longitude,altitude,enu_x,enu_y,enu_z,cov_xx,cov_yy,cov_zz,trddcp_factor_count,opt_time
14650209580.039999,31.403259,121.264273,25.176226,-5.461818,-0.042996,8.130224,1.000000,1.000000,1.000000,0,91.466980
14650209590.039999,31.403262,121.264255,25.006645,-7.120405,0.255122,7.960641,1.414214,1.414214,1.414214,0,95.575658
14650209600.039999,31.403258,121.264224,24.080736,-10.098006,-0.160561,7.034728,1.732051,1.732051,1.732051,0,85.768256
14650209610.039999,31.403253,121.264220,24.368608,-10.535489,-0.696446,7.322599,2.000000,2.000000,2.000000,0,95.572381
14650209620.039999,31.403251,121.264198,24.934556,-12.553361,-0.902654,7.888543,2.236068,2.236068,2.236068,0,94.232270
14650209630.039999,31.403259,121.264176,24.214969,-14.641612,-0.045470,7.168953,2.449490,2.449490,2.449490,0,100.940120
14650209640.039999,31.403254,121.264157,24.819528,-16.494917,-0.554755,7.773507,2.645751,2.645751,2.645751,0,99.346179
14650209650.039999,31.403245,121.264142,25.193345,-17.918545,-1.615056,8.147320,2.828427,2.828427,2.828427,0,99.259637
14650209660.039999,31.403246,121.264116,24.027949,-20.415940,-1.489550,6.981916,3.000000,3.000000,3.000000,0,90.021457
14650209670.039999,31.403242,121.264104,22.608346,-21.477725,-1.889404,5.562309,3.000000,3.000000,3.000000,0,90.818875
14650209680.039999,31.403240,121.264094,20.831799,-22.459192,-2.177565,3.785759,3.000000,3.000000,3.000000,0,93.985055
14650209690.039999,31.403237,121.264088,21.496270,-23.056797,-2.524175,4.450228,3.000000,3.000000,3.000000,0,100.762194
14650209700.039999,31.403229,121.264083,21.554747,-23.553346,-3.387351,4.508703,3.000000,3.000000,3.000000,0,97.288712
14650209710.039999,31.403224,121.264072,22.312874,-24.599133,-3.951681,5.266826,3.000000,3.000000,3.000000,0,94.607363
14650209720.039999,31.403224,121.264057,21.994692,-25.996777,-3.894978,4.948638,3.000000,3.000000,3.000000,0,92.145831
14650209730.039999,31.403224,121.264049,21.083351,-26.761323,-3.913706,4.037294,3.000000,3.000000,3.000000,0,102.134557
14650209740.039999,31.403225,121.264035,21.429647,-28.086708,-3.856922,4.383584,3.000000,3.000000,3.000000,0,100.858903
14650209750.039999,31.403224,121.264024,21.857130,-29.136479,-3.957896,4.811063,3.000000,3.000000,3.000000,0,100.613807
14650209760.039999,31.403219,121.264015,23.407948,-30.009910,-4.474214,6.361876,3.000000,3.000000,3.000000,0,100.280713
14650209770.039999,31.403219,121.264004,22.619140,-31.006336,-4.458895,5.573063,3.000000,3.000000,3.000000,0,102.869062
14650209780.039999,31.403217,121.263992,23.051024,-32.197965,-4.658802,6.004941,3.000000,3.000000,3.000000,0,113.388387
14650209790.039999,31.403216,121.263981,22.047038,-33.172890,-4.761361,5.000950,3.000000,3.000000,3.000000,0,98.055805
14650209800.039999,31.403219,121.263966,21.799101,-34.659032,-4.494156,4.753005,3.000000,3.000000,3.000000,0,101.195248
14650209810.039999,31.403216,121.263954,22.374030,-35.804187,-4.815896,5.327928,3.000000,3.000000,3.000000,0,98.742163
14650209820.039999,31.403212,121.263947,22.869462,-36.454107,-5.269278,5.823356,3.000000,3.000000,3.000000,0,100.020969
14650209830.039999,31.403212,121.263934,21.902418,-37.697677,-5.295732,4.856304,3.000000,3.000000,3.000000,0,102.276022
14650209840.039999,31.403207,121.263931,22.773168,-37.947271,-5.837839,5.727052,3.000000,3.000000,3.000000,0,100.368509
14650209850.039999,31.403206,121.263918,21.556290,-39.232703,-5.915859,4.510166,3.000000,3.000000,3.000000,0,105.435758
14650209860.039999,31.403201,121.263913,22.012979,-39.713189,-6.489726,4.966852,3.000000,3.000000,3.000000,0,102.500947
14650209870.039999,31.403200,121.263899,22.154610,-40.975933,-6.566980,5.108475,3.000000,3.000000,3.000000,0,116.766671
14650209880.039999,31.403198,121.263890,22.223712,-41.845081,-6.858426,5.177571,3.000000,3.000000,3.000000,0,111.378762
14650209890.039999,31.403195,121.263877,22.421176,-43.072266,-7.098992,5.375026,3.000000,3.000000,3.000000,0,109.942386
14650209900.039999,31.403193,121.263871,21.708232,-43.641415,-7.306769,4.662079,3.000000,3.000000,3.000000,0,101.865571
14650209910.039999,31.403193,121.263857,20.745454,-45.015024,-7.414721,3.699291,3.001061,3.001061,3.001061,0,102.502966
14650209920.039999,31.403189,121.263848,20.915479,-45.892132,-7.818084,3.869309,3.000000,3.000000,3.000000,0,103.346066
14650209930.039999,31.403190,121.263831,20.226992,-47.482247,-7.709736,3.180811,3.000000,3.000000,3.000000,0,115.220400
